time (us), m_acc_x, m_acc_y, m_acc_z, m_mag_x, m_gyr_y, m_gyr_z, m_mag_x, m_mag_y, m_mag_z, l_acc_x, l_acc_y, l_acc_z, l_gyr_x, l_gyr_y, l_gyr_z, l_mag_x, l_mag_y, l_mag_z
5073804, -0.071826, +0.253785, +9.868899, -0.026606, -0.011706, -0.001064, +68.088867, +1.613672, +36.003516, -0.028714, +0.071785, +9.640682, -0.043982, -0.007330, +0.041539, +53.012000, -37.468000, +56.434000,
5174850, -0.071826, +0.248997, +9.753978, -0.028734, -0.010642, +0.001064, +67.374023, +0.896484, +36.692578, -0.150748, +0.136391, +9.669396, -0.045204, +0.001222, +0.041539, +53.244000, -37.294000, +56.666000,
5275937, -0.033519, +0.196325, +9.682152, -0.027670, -0.012771, -0.001064, +67.374023, +0.896484, +36.692578, -0.114855, +0.107677, +9.633504, -0.039095, -0.010996, +0.039095, +52.896000, -37.004000, +56.434000,
5376992, -0.086191, +0.301669, +9.662998, -0.026606, -0.013835, +0.003193, +68.088867, +2.330859, +36.692578, -0.071785, +0.165105, +9.633504, -0.042761, -0.006109, +0.032987, +52.722000, -36.540000, +56.260000,
5478112, -0.043096, +0.244209, +9.715670, -0.028734, -0.013835, +0.002128, +68.088867, +2.330859, +36.692578, -0.014357, +0.107677, +9.640682, -0.043982, -0.008552, +0.032987, +54.230000, -37.120000, +56.086000,
5579169, -0.062249, +0.282516, +9.715670, -0.027670, -0.011706, +0.002128, +68.088867, +2.330859, +36.692578, -0.093320, +0.186640, +9.676575, -0.043982, -0.012217, +0.043982, +53.766000, -36.888000, +56.608000,
5680268, -0.047884, +0.248997, +9.706094, -0.027670, -0.011706, +0.003193, +68.625000, +1.075781, +36.175781, -0.129212, +0.093320, +9.647861, -0.047647, -0.010996, +0.041539, +53.708000, -37.178000, +56.376000,
5781370, -0.062249, +0.354342, +9.821015, -0.027670, -0.009578, +0.001064, +68.625000, +1.075781, +36.175781, -0.100499, +0.143569, +9.619147, -0.050091, -0.007330, +0.039095, +53.302000, -36.424000, +56.376000,
5882565, -0.038307, +0.325611, +9.730036, -0.023413, -0.014899, +0.004257, +68.982422, +1.434375, +35.831250, -0.057428, +0.114855, +9.655039, -0.042761, -0.006109, +0.034208, +53.476000, -36.598000, +56.202000,
5983645, -0.076614, +0.282516, +9.734824, -0.027670, -0.012771, +0.004257, +68.267578, +0.358594, +35.486719, -0.050249, +0.208176, +9.655039, -0.051313, -0.004887, +0.039095, +53.476000, -36.656000, +57.014000,
6084705, -0.067038, +0.253785, +9.763554, -0.025541, -0.010642, +0.002128, +68.267578, +0.358594, +35.486719, -0.064606, +0.093320, +9.705288, -0.050091, -0.006109, +0.042761, +53.070000, -37.352000, +56.202000,
6185789, -0.028730, +0.234632, +9.696517, -0.025541, -0.010642, +0.004257, +67.195312, +1.075781, +36.864844, -0.165105, +0.093320, +9.611968, -0.047647, -0.010996, +0.034208, +53.302000, -36.830000, +56.666000,
6287086, -0.033519, +0.258574, +9.658209, -0.025541, -0.012771, +0.004257, +68.625000, +0.000000, +36.175781, -0.107677, +0.114855, +9.626325, -0.037874, -0.008552, +0.037874, +53.012000, -37.004000, +56.086000,
6388680, -0.047884, +0.258574, +9.648633, -0.028734, -0.012771, +0.002128, +67.552734, +2.510156, +36.175781, -0.122034, +0.136391, +9.604790, -0.045204, -0.007330, +0.041539, +53.534000, -37.352000, +56.318000,
6489919, -0.033519, +0.263362, +9.787496, -0.026606, -0.012771, +0.005321, +70.054688, +0.358594, +36.175781, -0.007178, +0.157926, +9.662218, -0.046426, -0.009774, +0.039095, +52.954000, -36.598000, +56.376000,
6591023, +0.019154, +0.248997, +9.797073, -0.026606, -0.011706, +0.001064, +70.054688, +0.358594, +36.175781, -0.021535, +0.165105, +9.662218, -0.041539, -0.003665, +0.036652, +53.476000, -36.888000, +56.666000,
6692132, -0.081403, +0.220267, +9.682152, -0.022349, -0.012771, +0.001064, +68.267578, +0.358594, +36.520313, -0.114855, +0.136391, +9.683753, -0.045204, -0.007330, +0.039095, +53.070000, -37.178000, +56.492000,
6793217, -0.081403, +0.282516, +9.725247, -0.027670, -0.015963, +0.000000, +68.982422, +0.717187, +37.898438, -0.021535, +0.143569, +9.655039, -0.040317, -0.004887, +0.035430, +52.954000, -37.120000, +56.492000,
6894295, -0.033519, +0.148441, +9.682152, -0.023413, -0.011706, +0.001064, +68.982422, +0.358594, +34.797656, -0.078963, +0.179462, +9.604790, -0.040317, -0.012217, +0.039095, +53.302000, -37.120000, +56.550000,
6995372, -0.038307, +0.272939, +9.758766, -0.024477, -0.010642, +0.000000, +70.054688, +0.358594, +35.831250, -0.100499, +0.136391, +9.533005, -0.047647, -0.001222, +0.039095, +53.476000, -37.120000, +57.652000,
7096449, -0.105345, +0.296881, +9.720459, -0.023413, -0.010642, +0.002128, +70.054688, +0.358594, +35.831250, -0.107677, +0.129212, +9.590433, -0.045204, -0.012217, +0.035430, +53.360000, -36.888000, +56.840000,
7197412, -0.023942, +0.277727, +9.749189, -0.026606, -0.012771, +0.002128, +70.054688, +0.358594, +35.831250, -0.100499, +0.172283, +9.676575, -0.051313, -0.008552, +0.039095, +53.186000, -37.526000, +55.854000,
7298503, -0.081403, +0.306458, +9.639056, -0.025541, -0.010642, +0.004257, +68.803711, +0.896484, +37.037109, -0.064606, +0.100499, +9.576076, -0.041539, -0.003665, +0.042761, +52.896000, -36.772000, +56.724000,
7399562, -0.134075, +0.268151, +9.677363, -0.025541, -0.011706, -0.001064, +68.803711, +0.896484, +37.037109, -0.078963, +0.071785, +9.611968, -0.045204, -0.004887, +0.039095, +52.722000, -36.830000, +56.086000,
7500612, -0.076614, +0.311246, +9.864111, -0.025541, -0.012771, +0.005321, +69.697266, -0.358594, +37.898438, -0.071785, +0.157926, +9.698110, -0.043982, -0.012217, +0.034208, +53.070000, -37.004000, +56.782000,
7601672, -0.052672, +0.239420, +9.753978, -0.025541, -0.010642, +0.002128, +67.910156, +1.434375, +36.520313, -0.122034, +0.100499, +9.662218, -0.051313, -0.008552, +0.040317, +52.258000, -37.178000, +57.536000,
7702733, -0.062249, +0.292093, +9.734824, -0.026606, -0.011706, +0.003193, +67.910156, +1.434375, +36.520313, -0.021535, +0.114855, +9.640682, -0.047647, -0.013439, +0.039095, +53.418000, -36.946000, +56.840000,
